individuo,date.mark.rel,date.rm,sex.female,origin,naturally.marked,marked.as.young,release.protocol,perma.mark,pnt.capture
amarelo,26/04/2010,NA,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
branca,8/2/2010,20/08/2012,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
cinza,1/2/2010,11/7/2010,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
prata,26/04/2010,16/03/2011,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
azul,8/2/2010,18/07/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
negra,7/6/2010,NA,TRUE,cds,FALSE,FALSE,soft,FALSE,TRUE
laranja,8/2/2010,NA,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
verde,1/2/2010,NA,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
portelinha,15/03/2011,NA,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
mangueirinha,15/03/2011,10/9/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
bella,27/07/2011,10/9/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,TRUE
prata.jr,3/12/2012,NA,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
jackie,3/12/2012,NA,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
florinha2,3/12/2012,26/02/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
botafogo,15/03/2013,3/5/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
brazuca,15/03/2013,29/04/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
atchim,15/03/2013,3/5/2013,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
cid.jr,14/05/2012,NA,FALSE,pml,FALSE,FALSE,soft,FALSE,FALSE
loki,9/8/2012,20/08/2012,FALSE,pml,FALSE,FALSE,hard,FALSE,FALSE
primo,23/07/2013,NA,FALSE,pnt,FALSE,TRUE,NA,FALSE,TRUE
chico,24/07/2013,NA,FALSE,pnt,FALSE,TRUE,NA,FALSE,TRUE
anathema,25/07/2013,NA,TRUE,pnt,FALSE,FALSE,NA,TRUE,TRUE
neguinha,6/11/2013,NA,TRUE,pnt,FALSE,TRUE,NA,FALSE,TRUE
lili,4/2/2014,NA,TRUE,pnt,FALSE,FALSE,NA,TRUE,TRUE
luna,5/2/2014,NA,TRUE,pnt,FALSE,FALSE,NA,TRUE,TRUE
malu,13/05/2014,NA,TRUE,pnt,FALSE,TRUE,NA,TRUE,TRUE
delta,12/6/2014,NA,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
alice,12/6/2014,16/06/2014,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
playboy,12/6/2014,15/06/2014,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
roland,12/6/2014,25/08/2014,FALSE,cds,FALSE,FALSE,soft,TRUE,TRUE
jane,12/6/2014,NA,TRUE,cds,FALSE,FALSE,soft,FALSE,FALSE
ulisses,12/6/2014,NA,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
tag,12/6/2014,NA,TRUE,cds,FALSE,FALSE,soft/hard,FALSE,FALSE
hash,12/6/2014,18/06/2014,FALSE,cds,FALSE,FALSE,soft,FALSE,FALSE
darwin,12/6/2014,15/06/2014,FALSE,cds,FALSE,FALSE,hard,FALSE,FALSE
jimmy,12/6/2014,27/06/2014,FALSE,cds,FALSE,FALSE,hard,FALSE,FALSE
wallace,12/6/2014,19/02/2015,FALSE,cds,FALSE,FALSE,hard,TRUE,TRUE
maia,21/08/2014,NA,TRUE,pnt,FALSE,TRUE,soft,FALSE,TRUE
luke,21/08/2014,NA,FALSE,pnt,FALSE,FALSE,NA,TRUE,TRUE
bjork,21/08/2014,NA,TRUE,pnt,FALSE,TRUE,NA,FALSE,TRUE
grey,21/08/2014,NA,TRUE,pnt,FALSE,TRUE,NA,FALSE,TRUE
lolita,26/08/2014,NA,TRUE,pnt,FALSE,TRUE,NA,FALSE,TRUE
sol,11/11/2014,NA,TRUE,pnt,FALSE,FALSE,NA,TRUE,TRUE
sloth,NA,NA,NA,pnt,TRUE,FALSE,NA,FALSE,FALSE
juju,12/6/2014,27/06/2014,TRUE,cds,FALSE,FALSE,hard,FALSE,FALSE
x,7/6/2010,NA,NA,cds,FALSE,FALSE,soft,FALSE,FALSE
kanayeva,10/03/2015,NA,TRUE,pnt,FALSE,TRUE,NA,TRUE,TRUE
