interval,start,end,sample_month,bait,grid.size
1,15/11/2013,20/11/2013,A,sweet.potato,21
2,21/11/2013,26/11/2013,A,sweet.potato,21
3,27/11/2013,02/12/2013,A,sweet.potato,21
4,03/12/2013,08/12/2013,A,sweet.potato,21
5,09/12/2013,14/12/2013,A,sweet.potato,21
6,07/02/2014,12/02/2014,B,sweet.potato,21
7,13/02/2014,18/02/2014,B,sweet.potato,21
8,19/02/2014,24/02/2014,B,sweet.potato,21
9,25/02/2014,02/03/2014,B,sweet.potato,21
10,03/03/2014,08/03/2014,B,sweet.potato,21
11,17/05/2014,22/05/2014,C,sweet.potato,33
12,23/05/2014,28/05/2014,C,sweet.potato,33
13,29/05/2014,03/06/2014,C,sweet.potato,33
14,04/06/2014,09/06/2014,C,sweet.potato,33
15,10/06/2014,15/06/2014,C,sweet.potato,33
16,29/08/2014,03/09/2014,D,sweet.potato,33
17,04/09/2014,09/09/2014,D,sweet.potato,33
18,10/09/2014,15/09/2014,D,sweet.potato,33
19,16/09/2014,21/09/2014,D,sweet.potato,33
20,22/09/2014,27/09/2014,D,sweet.potato,33
21,14/11/2014,19/11/2014,E,sweet.potato,33
22,20/11/2014,25/11/2014,E,sweet.potato,33
23,26/11/2014,01/12/2014,E,sweet.potato,33
24,02/12/2014,07/12/2014,E,sweet.potato,33
25,08/12/2014,13/12/2014,E,sweet.potato,33
26,13/03/2015,18/03/2015,F,sweet.potato,33
27,19/03/2015,24/03/2015,F,sweet.potato,33
28,25/03/2015,30/03/2015,F,sweet.potato,33
29,31/03/2015,05/04/2015,F,sweet.potato,33
30,06/04/2015,11/04/2015,F,sweet.potato,33
